id,loss
4,1938.0654
6,2119.9
9,10591.317
12,5948.736
15,1126.7524
17,2444.8345
21,1852.3473
28,1055.5748
32,2331.966
43,3281.2495
46,3249.0757
50,1305.2524
54,1392.5057
62,2562.9407
70,2246.8528
71,6143.6646
75,2379.0615
77,2679.1853
81,2596.8027
83,2494.691
87,2234.6047
97,2687.4028
103,1847.0198
119,1407.7687
120,2304.9714
127,1704.8219
138,3553.9282
141,2592.4534
148,1487.8724
150,3039.0317
151,2559.3635
158,1867.5261
160,7235.0205
165,2929.2976
168,3433.199
169,3852.1594
177,3185.5098
178,4940.709
184,2049.4424
194,7804.768
198,2526.6184
203,5769.8804
211,2553.5684
217,1258.5465
219,1658.6624
221,4061.3003
227,2488.413
230,1671.4896
235,1778.339
240,1098.7418
243,2981.5652
249,7318.4224
253,3039.3042
258,1539.7614
261,1841.6155
263,3689.0676
264,2972.5508
265,4902.5312
268,1585.612
271,1657.7742
274,6438.5176
275,707.2468
279,2526.165
282,1374.2909
286,2938.315
288,1682.2595
294,2886.653
296,1103.4994
297,1885.0919
300,955.4181
303,8714.386
314,1451.6339
315,5249.692
321,2793.765
323,5452.37
330,4141.486
341,2540.0022
342,5037.5576
352,2159.4548
353,4419.6543
360,7365.536
361,2311.6792
362,3778.4087
366,1155.3209
372,3917.2825
376,2765.3865
377,2273.0625
379,1834.684
380,4475.9453
387,1677.33
392,2134.7976
394,10411.774
395,1886.0533
397,1898.7812
407,5731.1265
411,6777.3896
416,2821.886
417,1858.175
419,2976.5364
428,5282.043
431,2006.9641
436,7383.847
438,1411.5764
445,6742.3735
446,7533.63
455,1730.057
456,1689.2928
461,890.19965
463,2256.3752
464,3527.477
466,2365.5964
467,2269.7808
470,1339.6073
475,1462.625
482,3138.249
490,3366.609
496,2145.8596
497,4492.147
508,3232.8032
510,1939.6273
512,2809.3074
513,5081.455
523,2158.2466
531,6172.3755
532,2619.3755
533,1752.842
537,1096.6143
544,5349.8223
547,3982.4014
556,7735.4165
565,1565.6638
566,1287.9087
571,1631.5958
573,2216.429
574,828.51874
581,2413.733
585,2584.8792
589,2985.5852
597,1879.5424
601,3311.6086
602,1551.2494
613,2042.1718
616,1613.1855
619,2229.4014
622,2890.5205
623,2148.6914
629,1801.2217
634,1809.5591
638,827.41064
642,1278.128
643,2443.0955
645,1330.3029
648,7565.213
652,2100.5598
664,1227.9731
666,3051.136
672,988.844
676,2109.334
678,4215.3877
682,1747.1492
686,3517.7412
688,2890.3418
689,1647.7928
690,2070.978
692,9546.728
695,2017.3313
697,3921.8752
698,2257.4836
706,2964.3696
708,2196.646
712,4060.8496
715,4052.002
717,1210.387
725,3225.2703
729,1753.1855
737,1435.0406
739,5773.834
747,4347.517
753,2243.3071
758,3630.9998
759,2541.0376
763,1797.7012
773,6285.985
774,2357.3845
776,2073.7463
788,3990.6846
790,3077.099
794,1743.2283
801,3710.129
802,2543.8308
805,1616.6788
809,6124.1353
812,1472.4689
825,2778.9456
828,2272.8743
830,1800.6089
833,1743.0891
850,4610.626
852,6654.9097
862,1625.3446
863,1695.3938
864,1849.6498
865,3364.2021
868,6308.364
872,1966.7278
879,7801.4844
880,1664.016
883,1608.7083
886,1951.1431
923,1828.5034
924,1510.3998
932,1356.0022
945,6619.5693
947,7301.7095
948,2000.1361
955,4628.4985
963,4230.037
979,1336.1646
989,1646.978
994,3146.969
995,2132.4517
998,2777.0723
1000,4333.1523
1018,2188.7534
1019,2603.7004
1028,2897.7722
1034,1368.4825
1038,2229.7393
1040,1527.976
1042,1569.0167
1057,6644.7026
1058,2209.9453
1063,1734.708
1066,3529.3416
1071,4196.171
1073,3982.2268
1074,2946.0144
1077,3169.1826
1080,9364.943
1088,1149.2949
1096,1077.5411
1097,9882.324
1105,6096.7
1115,1878.2361
1116,2761.7444
1122,2939.4846
1130,4236.971
1133,1332.5422
1137,3021.0295
1140,2190.2732
1143,7763.7524
1149,5826.1104
1150,1215.7423
1153,1091.2288
1157,1451.8008
1180,748.3393
1183,1154.5631
1188,2315.8716
1193,1181.6957
1200,648.5483
1209,3412.9421
1214,2190.2515
1219,2411.9333
1223,6897.987
1227,962.13007
1228,1482.3085
1229,3983.3257
1233,2131.313
1238,4431.7466
1239,1730.9143
1241,3828.1863
1243,2146.3357
1244,1565.7102
1245,4323.4717
1277,3954.8562
1279,4254.6064
1292,9147.214
1293,1986.015
1299,9388.265
1304,3567.0535
1313,4662.456
1328,3304.1472
1330,1705.361
1334,1681.6565
1335,1702.0845
1336,5500.1255
1341,1101.6002
1344,1727.0586
1351,1597.5319
1352,2393.1255
1354,2220.7039
1368,4129.4575
1373,1672.4066
1375,909.06714
1381,2115.4604
1384,3443.428
1385,3843.4392
1388,5713.009
1401,5006.2085
1402,2466.6829
1404,1852.6144
1406,1927.0942
1409,752.1229
1422,1547.4839
1429,3643.7124
1433,5490.5913
1438,1325.5029
1444,1603.8055
1446,1638.0795
1450,1403.5284
1451,597.94867
1454,1848.9302
1458,2757.5557
1461,2767.849
1464,5554.5073
1465,1634.4044
1478,2012.1443
